거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"89,900",,2000,2020,,,,,신도림동,동아3,10,5,60,,645,11530,1,,
"109,000",,2001,2020,,,,,신도림동,대림2,10,5,84.95,,642,11530,23,,
"132,000",,1999,2020,,,,,신도림동,동아1,10,6,169.199,,643,11530,12,,
"126,000",,1999,2020,,,,,신도림동,대림1,10,6,134.99,,642,11530,14,,
"52,500",,1989,2020,,,,,신도림동,미성,10,6,37.91,,290,11530,2,,
"83,700",,1999,2020,,,,,신도림동,대림1,10,8,59.88,,642,11530,8,,
"107,500",,2001,2020,,,,,신도림동,대림2,10,9,84.95,,642,11530,19,,
"98,000",,2006,2020,,,,,신도림동,SKVIEW,10,10,84.96,,432-1,11530,16,21.02.16,O
"98,000",,2006,2020,,,,,신도림동,SKVIEW,10,10,84.96,,432-1,11530,16,,
"58,000",,2006,2020,,,,,신도림동,신도림팰러티움,10,12,84.95,,412-3,11530,20,,
"92,500",,2006,2020,,,,,신도림동,SKVIEW,10,13,84.99,,432-1,11530,7,,
"86,000",,2000,2020,,,,,신도림동,동아2,10,14,59.595,,644,11530,18,,
"145,000",,2003,2020,,,,,신도림동,대림e-편한세상4,10,16,84.78,,646,11530,11,,
"81,800",,2001,2020,,,,,신도림동,대림2,10,18,59.9,,642,11530,12,,
"103,000",,2001,2020,,,,,신도림동,대림2,10,19,84.95,,642,11530,15,,
"104,000",,2001,2020,,,,,신도림동,대림2,10,20,84.95,,642,11530,7,,
"118,500",,2000,2020,,,,,신도림동,동아2,10,23,84.908,,644,11530,17,,
"131,000",,2004,2020,,,,,신도림동,대림e-편한세상7,10,23,116.308,,649,11530,21,,
"77,900",,1999,2020,,,,,신도림동,대림1,10,24,59.88,,642,11530,24,,
"119,000",,2004,2020,,,,,신도림동,대림e-편한세상7,10,24,84.928,,649,11530,17,,
"82,000",,1999,2020,,,,,신도림동,대림1,10,24,59.88,,642,11530,13,,
"49,000",,1989,2020,,,,,신도림동,미성,10,24,37.91,,290,11530,1,,
"143,000",,2011,2020,,,,,신도림동,디큐브시티,10,26,128.41,,692,11530,34,,
"82,500",,1999,2020,,,,,신도림동,대림1,10,27,59.9,,642,11530,27,,
"165,000",,2003,2020,,,,,신도림동,대림e-편한세상4,10,29,152.07,,646,11530,7,,
"65,700",,1989,2020,,,,,신도림동,미성,10,30,52.45,,290,11530,13,,
"122,000",,2000,2020,,,,,신도림동,동아3,10,30,84.99,,645,11530,20,,
"91,000",,1999,2020,,,,,신도림동,동아1,10,30,59.978,,643,11530,22,,
